index,drinksName,drinksPrice
1,[ 쌀 ] 토끼소주 화이트 ( 충주 ),"22,000원"
2,[ 오미자 ] 술샘 16 ( 용인 ),"11,400원"
3,[ 밀 ] 안동 진맥소주 53 200 ( 안동 ),"38,000원"
4,[ 쌀 ] 삼해소주 ( 서울 ),"48,000원"
5,"[ 쌀, 복숭아 ] 도원결의 15 ( 영덕 )","5,600원"
6,"[ 쌀, 배 ] 이강주 25 ( 전주 )","11,000원"
7,"[ 황매실, 노간주나무열매 ] 서울의 밤 ( 서울 )","7,200원"
8,"[ 쌀, 오이 ] 52C ( 장성 )","6,000원"
9,[ 보리 ] 황금보리 40 ( 홍성 ),"15,900원"
10,[ 사과 ] 사랑할 때 20 ( 충주 ),"4,300원"
11,"[ 쌀, 복숭아 ] 도원결의 ( 영덕 )","4,500원"
12,[ 보리 ] 황금보리 25 ( 홍성 ),"10,500원"
13,[ 사과 ] 사랑할 때 12 ( 충주 ),"3,500원"
14,[ 보리 ] 황금보리 17 ( 홍성 ),"6,800원"
15,[ 보리 ] 사락 ( 대전 ),"22,900원"
16,"[ 쌀, 아카시아꿀 ] 로아 화이트 19 ( 화성 )","6,600원"
17,[ 사과 ] 문경바람 백자 40 ( 문경 ),"22,000원"
18,[ 사과 ] 추사 40 500 ( 예산 ),"62,000원"
19,"[ 쌀, 지초 외 각종약재 ] 감홍로 700 ( 파주 )","70,000원"
20,[ 사과 ] 문경바람 오크 25 ( 문경 ),"15,000원"
21,[ 사과 ] 추사 40 200 ( 예산 ),"30,000원"
22,[ 쌀 ] 토끼소주 블랙 700 ( 충주 ),"59,000원"
23,[ 보리 ] 모리 ( 부안 ),"8,800원"
24,"[ 꿀, 생강 ] 꿀샘 16 ( 용인 )","14,000원"
25,"[ 생강, 강황 ] 술샘 19 ( 용인 )","12,000원"
26,[ 주니퍼베리 ] 부자진 서울 #1 200 ( 양평 ),"33,900원"
27,[ 메밀 ] 메밀이슬 ( 제주 ),"90,000원"
28,[ 사과 ] 금과명주 ( 의성 ),"38,900원"
29,[ 쌀 ] 오크젠 ( 대구 ),"14,000원"
30,[ 보리 ] 톡한잔소주 ( 영광 ),"14,000원"
